radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,440,11,39938,189996801,384,132.6596470,33.4809436,0,317,1,1714271203,1714280363,
LTE,440,11,39937,189997825,78,132.9910302,33.8400749,0,28,1,1715401256,1715401256,
LTE,440,11,39937,189998081,214,132.9932233,33.8411844,0,5,1,1715401256,1715401256,
LTE,440,11,39938,189998593,270,132.7720494,33.3704429,0,131,1,1714271209,1714280367,
LTE,440,11,39938,190001921,285,132.4591887,33.5119548,0,96,1,1714028137,1714280359,
LTE,440,11,39937,190004993,1,133.0400734,33.8353417,0,42,1,1679310326,1714813439,
LTE,440,11,39938,190009345,1,133.0846214,33.6747564,0,43,1,1715354848,1715354848,
LTE,440,11,39937,190017025,103,132.9639275,34.2186605,0,34,1,1682860884,1714206991,
LTE,440,11,39937,190017281,104,132.9596035,34.2187354,0,20,1,1682860884,1714206991,
LTE,440,11,39937,190017537,102,132.9610495,34.2195227,0,5,1,1682860884,1714206991,
LTE,440,11,39937,190019073,2,133.0486805,33.8322449,0,18,1,1679310326,1714813439,
LTE,440,11,39938,190021633,205,132.4127765,33.4855516,0,24,1,1689323582,1714280357,
LTE,440,11,39938,190021889,206,132.4089532,33.4855491,0,40,1,1689323582,1714280357,
