場所,市区町村,設置タイプ,更新日時,状況,eNB-LCID,PCI,基地局ID,sector,sub6,ミリ波,緯度,経度
松山市南吉田町①,松山市,コン柱,2023/03/27 20:37:02,open,"737563-4,5,6","233,90,106",,3,,,33.827539,132.71503
今治市伯方町木浦②,今治市,屋上,2022/11/28 21:03:49,open,"737452-6,7,8","364,323,223",,3,,,34.204648,133.116904
上浮穴郡久万高原町西明神①,久万高原町,コン柱,2023/03/19 20:05:47,open,"737531-4,5,6","183,184,185",,3,,,33.67514,132.88612
西条市中野乙,西条市,コン柱,2024/05/04 22:06:26,open,"737515-7,8","159,20",,2,,,33.888489,133.191174
喜多郡内子町臼杵③,内子町,コン柱,2024/04/28 18:48:41,open,742237-1,2,CBSB838001558,1,,,33.624643,132.843691
西条市丹原町川根,西条市,コン柱,2024/05/04 21:34:29,open,737546-4,47,CBSB838001248,1,,,33.896908,133.035635
喜多郡内子町大瀬南,内子町,コン柱,2024/04/28 19:04:08,open,737600-4,294,CBSB838001333,1,,,33.555064,132.721964
松山市久米窪田町,松山市,コン柱,2022/06/01 00:00:00,open,"737432-4,5,6","105,344,13",,3,,,33.80718178,132.814699
松山市森松町②,松山市,コン柱,2022/07/29 21:51:08,open,"737286-4,5,6","277,278,276",,3,1,2,33.79106,132.796709
宇和島市山際四丁目,宇和島市,コン柱,2023/04/28 22:28:46,open,"737353-4,5,6","18,19,20",CBSB838001241,3,,,33.209181,132.558416
宇和島市保田甲,宇和島市,コン柱,2024/04/28 20:24:34,close,,,,,,,33.195222,132.548111
西予市宇和町下松葉,西予市,コン柱,2023/03/24 22:09:03,open,"737525-10,11,12","133,134,132",,3,,,33.372055,132.504791
新居浜市庄内町一丁目,新居浜市,屋上,2023/04/16 11:14:28,open,"737542-6,7,8","45,354,88",,3,,,33.956334,133.286822
南宇和郡愛南町樽見,愛南町,衛星,2024/04/28 20:17:44,ready,,,,2,,,32.932639,132.515667
四国中央市川滝町下山②,四国中央市,コン柱,2024/05/25 22:31:13,open,737475-8,294,,1,1,1,33.991514,133.642123
伊予市双海町上灘①,伊予市,コン柱,2023/03/19 19:36:39,open,"737485-4,5","357,358",,2,,,33.68778,132.63647
松山市大街道一丁目,松山市,屋内,2022/06/01 00:00:00,open,747281-1,404,,1,,,33.8377225,132.7702389
南宇和郡愛南町中浦②,愛南町,コン柱,2024/05/11 20:34:09,ready,,,,3,,,32.961639,132.504
今治市中寺①,今治市,コン柱,2024/05/05 22:54:57,open,"737331-1,2,3","277,377,351",,3,3,3,34.037485,132.991341
伊予郡松前町大字上高柳,松前町,コン柱,2023/03/25 23:52:06,open,"737530-7,8,9","190,62,255",,3,1,2,33.798128,132.734838
東温市松瀬川②,東温市,衛星,2022/06/01 00:00:00,open,742202-1,1,,1,,,33.8286865,132.9530611
松山市宮西一丁目②,松山市,屋内,2022/06/01 00:00:00,open,"747282-1,2","404,405",,1,,,33.84446215,132.7520179
西予市三瓶町蔵貫,西予市,コン柱,2023/06/20 19:05:06,open,"737502-3,4,5","337,338,336",,3,,,33.353264,132.428823
今治市菊間町浜②,今治市,コン柱,2024/05/05 23:12:53,open,"737495-6,7,8","362,124,176",,3,,,34.044968,132.85284
西条市新町,西条市,コン柱,2023/05/04 11:30:22,open,"737546-8,9,10","216,358,57",,3,,,33.93489,133.051007
大洲市八多喜町,大洲市,コン柱,2022/07/13 18:02:00,open,"737444-1,2,3","317,315,67",,3,,,33.563343,132.539736
北宇和郡松野町大字目黒,松野町,コン柱,2022/06/01 00:00:00,open,"737416-6,7,8","291,267,268",,3,,,33.16183023,132.6992434
南宇和郡愛南町御荘平城③,愛南町,コン柱,2024/04/28 00:11:12,open,"737539-1,2,3","277,276,278",,3,,,32.962588,132.564781
大洲市長浜町今坊,大洲市,コン柱,2024/04/28 20:03:39,open,"737609-2,3,4","147,202,201",CBSB838001422,3,3,,33.632667,132.522472
宇和島市吉田町鶴間新,宇和島市,コン柱,2024/04/28 11:46:41,open,737569-2,30,CBSB838001476,1,,,33.286481,132.533428
西条市国安,西条市,コン柱,2023/05/04 11:32:04,open,"737548-10,11,12","32,231,4",,3,,,33.943355,133.058286
宇和島市保手四丁目,宇和島市,コン柱,2022/06/01 00:00:00,open,"737341-1,2","105,107",,2,,,33.21370057,132.54892
松山市生石町,松山市,コン柱,2022/10/05 19:40:47,open,"737448-1,2,3","325,179,360",,3,,,33.830893,132.740673
四国中央市土居町入野,四国中央市,コン柱,2023/04/02 02:27:59,open,"737508-7,8,9","351,353,352",,3,,,33.95425,133.4184
今治市伯方町有津,今治市,コン柱,2023/05/22 01:01:23,open,"737450-4,5,6","83,39,346",CBSB838000635,3,1,1,34.204311,133.094519
西予市宇和町上松葉,西予市,コン柱,2023/03/24 22:08:00,open,"737525-7,8,9","228,230,229",,3,,,33.384014,132.504301
今治市東門町三丁目,今治市,コン柱,2022/06/01 00:00:00,open,"737335-4,5,6","302,300,301",,3,,,34.060845,133.0117492
四国中央市妻鳥町④,四国中央市,コン柱,2022/12/06 23:36:13,open,"737467-4,5,6","167,172,279",,3,,,33.996413,133.567959
伊予郡砥部町宮内①,砥部町,コン柱,2023/03/03 20:45:04,open,"737555-1,2,3","345,346,347",,3,1,3,33.755087,132.788813
今治市波方町波方,今治市,コン柱,2023/04/22 16:46:38,open,"737488-9,10,11","108,109,360",,3,,,34.118935,132.952448
新居浜市久保田町二丁目,新居浜市,コン柱,2024/05/11 22:39:03,open,"737541-10,11,12","82,113,204",,3,3,,33.955483,133.277209
伊予郡砥部町川井,砥部町,コン柱,2023/03/24 22:22:03,open,"737555-9,10","78,79",,3,,,33.749607,132.776039
今治市菊間町松尾,今治市,コン柱,2024/05/05 23:16:58,open,"737494-7,8,9","86,117,319",,3,,,34.023986,132.865071
南宇和郡愛南町久良,愛南町,コン柱,2022/06/01 00:00:00,open,"737339-9,10","288,289",,2,,,32.939366,132.553245
八幡浜市産業通,八幡浜市,屋上,2023/03/19 19:49:01,open,"737569-3,4,5","61,62,213",,3,,,33.452994,132.432703
松山市湯の山八丁目,松山市,コン柱,2023/05/10 11:54:43,open,"737564-7,8","301,104",,2,,,33.872366,132.817743
新居浜市西原町一丁目,新居浜市,屋上,2023/05/04 14:39:27,open,"737539-7,8,9","143,241,6",,3,,,33.963263,133.270008
八幡浜市川上町川名津,八幡浜市,コン柱,2023/01/08 14:49:31,open,"737473-10,11,12","214,53,51",,3,3,3,33.424905,132.406445
宇和島市吉田町南君②,宇和島市,コン柱,2022/06/01 00:00:00,close,,,,,,,33.263628,132.513819
大洲市菅田町菅田①,大洲市,コン柱,2023/03/17 22:31:06,open,"737543-7,8,9","35,33,34",,3,,,33.509924,132.584769
上浮穴郡久万高原町上黒岩①,久万高原町,コン柱,2024/05/09 20:42:56,open,737607-5,342,CBSB838001204,1,,,33.61962,132.96336
松山市松末二丁目,松山市,コン柱,2022/06/01 00:00:00,open,"737286-10,11,12","243,245,244",,3,,,33.82452506,132.7905841
大洲市田口,大洲市,屋上,2024/04/28 00:56:32,open,"737591-2,3,4","138,139,140",,3,,,33.515195,132.547422
南宇和郡愛南町城辺甲③,愛南町,コン柱,2023/04/29 00:07:41,open,"737443-3,4,5","358,359,357",,3,,,32.953284,132.572527
宇和島市三間町是能,宇和島市,コン柱,2024/04/28 14:13:26,open,737572-5,16,CBSB838001075,1,,,33.2841575,132.5792802
大洲市上須戒,大洲市,コン柱,2022/06/01 00:00:00,open,"737446-9,10","213,214",,2,,,33.5355148,132.5033032
西予市野村町四郎谷,西予市,コン柱,2022/06/01 00:00:00,open,"737394-9,10,11","265,264,266",,3,,,33.386139,132.601646
松山市馬木町,松山市,コン柱,2022/06/01 00:00:00,open,"737288-10,11,12","10,9,11",,3,,,33.8909679,132.7447306
八幡浜市日土町⑤,八幡浜市,衛星,2024/04/28 20:48:54,open,742172-1,387,CBSB838001353,1,,,33.516389,132.445611
伊予市双海町串①,伊予市,コン柱,2024/05/18 19:23:20,open,"737394-7,8","35,52",CBSB838000462,2,2,1,33.65192,132.57975
松山市市坪南一丁目,松山市,コン柱,2022/06/01 00:00:00,open,"737293-1,2,3","68,66,67",,3,,,33.80814471,132.7530878
松山市中野町,松山市,コン柱,2022/06/01 00:00:00,open,"737292-1,2,3","35,34,33",,3,,,33.7776925,132.8327865
松山市道後多幸町,松山市,屋上,2022/07/29 21:52:32,open,"737437-1,2,3","135,137,136",,3,,,33.853444,132.784594
宇和島市錦町,宇和島市,コン柱,2022/06/01 00:00:00,open,"737296-1,2,3","161,159,160",,3,,,33.2247907,132.5673689
宇和島市三間町小沢川,宇和島市,コン柱,2024/04/28 14:18:15,open,737587-1,17,CBSB838000976,1,,,33.300729,132.622636
松山市道後樋又,松山市,コン柱,2022/06/01 00:00:00,open,"737327-1,2,3","152,213,151",,3,,,33.852056,132.775109
松山市北井門二丁目,松山市,コン柱,2022/06/01 00:00:00,open,"737310-1,2,3","267,269,268",,3,,,33.804465,132.780298
松山市高井町,松山市,コン柱,2022/06/01 00:00:00,open,"737284-1,2,3","315,316,317",,3,1,2,33.798337,132.80772
上浮穴郡久万高原町東明神乙,久万高原町,コン柱,2023/03/19 20:04:20,open,"737529-5,6,7","39,40,41",CBSB838000734,3,,,33.687503,132.887805
西予市野村町野村②,西予市,コン柱,2024/04/28 13:38:34,open,"737451-4,5,6","149,147,148",CBSB838000335,3,1,1,33.376268,132.642175
松山市北吉田町,松山市,コン柱,2023/07/06 15:16:24,open,"737563-1,2,3","36,38,268",,3,,,33.834298,132.710536
大洲市柚木,大洲市,コン柱,2022/07/17 16:12:00,open,"737446-1,2,3","219,118,221",,3,,,33.50266,132.54851
松山市一番町一丁目,松山市,屋上,2022/06/01 00:00:00,open,"737304-7,8,9","200,198,199",,3,,,33.841927,132.774554
宇和島市三間町宮野下,宇和島市,コン柱,2023/04/13 20:28:58,open,"737535-7,8,9","344,343,342",,3,,,33.289252,132.606444
大洲市春賀①,大洲市,コン柱,2022/07/13 18:07:00,open,"737444-4,5,6","91,183,92",,3,,,33.5502219,132.55654
松山市猿川,松山市,コン柱,2024/04/28 19:59:51,open,737597-2,255,CBSB838001377,1,,,33.972678,132.8386294
喜多郡内子町立山①,内子町,コン柱,2023/03/21 17:25:38,open,"737481-8,9,10","244,243,245",,3,,,33.594314,132.675454
西条市船屋甲,西条市,コン柱,2023/05/04 14:09:59,open,"737516-1,2,3","329,84,307",,3,,,33.935228,133.208546
宇和島市高串③,宇和島市,コン柱,2022/06/01 00:00:00,open,"737347-1,2,3","6,7,8",,3,,,33.244715,132.571339
新居浜市荷内町,新居浜市,コン柱,2023/06/10 14:34:22,open,"737555-4,5","343,57",,2,,,33.979287,133.373754
八幡浜市保内町喜木津,八幡浜市,コン柱,2024/04/28 13:47:53,open,"737596-4,5,6","356,88,129",CBSB838001351,3,,,33.526178,132.385229
喜多郡内子町内子大久喜甲,内子町,コン柱,2023/03/21 17:29:13,open,"737557-2,3,4","164,162,163",,3,,,33.515964,132.664759
喜多郡内子町臼杵②,内子町,au共用,2024/04/28 18:44:51,open,741280-1,31,,1,,,33.627327,132.821619
伊予郡砥部町重光,砥部町,コン柱,2022/06/01 00:00:00,open,"737329-4,5,6","118,117,20",,3,,,33.783769,132.784491
今治市通町一丁目,今治市,コン柱,2022/06/01 00:00:00,open,"737359-10,11,12","333,334,335",,3,,,34.06760907,133.0044701
西予市明浜町宮野浦①,西予市,コン柱,2023/04/22 11:46:12,open,"737524-1,2,3","255,323,214",,3,,,33.31343,132.42478
西予市宇和町伊賀上,西予市,コン柱,2023/04/22 10:47:28,open,"737523-10,11,12","290,288,289",,3,,,33.350506,132.514759
今治市中寺②,今治市,コン柱,2024/05/05 22:54:02,open,"737331-4,5,6","211,203,195",,3,,,34.031775,132.998793
伊予郡松前町大字出作,松前町,コン柱,2023/03/25 23:51:05,open,"737533-10,11,12","278,37,177",,3,,,33.787584,132.750828
東温市田窪①,東温市,コン柱,2022/06/01 00:00:00,open,"737382-1,2,3","356,142,183",,3,,,33.792503,132.863218
西宇和郡伊方町川之浜①,伊方町,コン柱,2023/01/11 20:49:39,open,"737369-4,5","54,56",,2,,,33.426085,132.226943
松山市南梅本町,松山市,コン柱,2022/06/01 00:00:00,open,"737440-9,10,11","254,5,3",,3,,,33.80257,132.8341964
伊予市本郡,伊予市,コン柱,2023/03/21 17:46:19,open,"737484-1,2","47,46",,2,,,33.749284,132.688537
南宇和郡愛南町赤水,愛南町,コン柱,2024/05/11 20:39:31,ready,,,,2,,,32.960417,132.528806
大洲市菅田町菅田②,大洲市,コン柱,2023/03/17 22:31:51,open,"737544-3,4,5","19,20,18",,3,,,33.517235,132.588037
松山市北条辻,松山市,コン柱,2024/04/28 13:01:47,open,"737505-5,6,7","51,118,61",,3,,,33.962262,132.77709
喜多郡内子町中川,内子町,衛星,2024/04/28 18:39:05,open,742211-1,1,,1,,,33.570402,132.843689
今治市衣干町四丁目,今治市,コン柱,2024/05/04 20:47:29,open,"737377-4,5,6","318,331,281",CBSB838000661,3,2,1,34.046201,133.013385
四国中央市中曽根町②,四国中央市,屋上,2022/06/01 00:00:00,open,"737393-1,2,3","341,157,342",,3,,,33.97845761,133.5508908
四国中央市寒川町②,四国中央市,コン柱,2022/06/01 00:00:00,open,"737394-4,5,6","48,50,49",,3,,,33.968875,133.5064887
東温市則之内①,東温市,コン柱,2023/03/21 18:29:38,open,"737505-1,2","32,30",,2,,,33.795516,132.950761
西宇和郡伊方町大浜,伊方町,コン柱,2024/04/28 11:47:49,open,"737586-1,2,3","20,21,22",CBSB838001327,3,,,33.473631,132.372481
松山市由良町,松山市,コン柱,2022/06/01 00:00:00,close,,,,,,,33.90309086,132.6819445
伊予郡砥部町総津,砥部町,コン柱,2024/04/28 18:52:43,open,"737403-4,5,6","11,10,9",,3,,,33.629439,132.796715
新居浜市若水町二丁目,新居浜市,屋上,2023/04/16 11:12:50,open,"737541-7,8,9","314,165,103",,3,,,33.967677,133.280802
松山市大浦,松山市,コン柱,2024/04/28 13:06:45,open,"737506-3,4","170,214",,2,,,33.999727,132.773055
越智郡上島町弓削狩尾,上島町,コン柱,2024/05/03 21:40:31,open,"737342-1,2,3","72,311,313",CBSB838000936,3,,,34.26675441,133.2188494
松山市北持田町,松山市,屋上,2022/06/01 00:00:00,open,"737432-7,8,9","279,172,323",,3,,,33.84550992,132.7783105
八幡浜市日土町①,八幡浜市,コン柱,2023/05/01 11:48:59,open,"737580-1,2","291,293",,2,,,33.493641,132.417155
四国中央市土居町小林,四国中央市,コン柱,2023/04/02 02:24:37,open,"737508-1,2,3","7,6,242",,3,,,33.957267,133.437322
西予市野村町野村①,西予市,コン柱,2024/04/28 21:15:15,open,"737394-1,2,3","240,241,242",,3,,,33.378686,132.652318
今治市砂場町二丁目,今治市,コン柱,2023/04/23 16:08:12,open,"737378-10,11,12","14,145,96",,3,,,34.1093476,132.978349
南宇和郡愛南町中川,愛南町,コン柱,2024/04/28 00:07:03,ready,,,CBSB838001238,1,,,32.952503,132.626543
西条市丹原町臼坂,西条市,衛星,2024/06/16 08:32:33,open,"742179-1
742180-1
742181-1","78,214,302",CBSB838000999,3,,,33.836278,132.985278
喜多郡内子町内子,内子町,コン柱,2023/03/21 17:31:26,open,"737557-6,7,8","216,218,217",,3,1,2,33.548218,132.64885
東温市則之内②,東温市,コン柱,2023/03/21 17:54:30,open,"737505-3,4","214,253",,2,1,2,33.79352,132.931501
今治市伯方町北浦,今治市,コン柱,2022/11/28 21:07:20,open,"737459-1,2,3","132,181,164",,3,,,34.228256,133.095288
西条市樋之口③,西条市,コン柱,2023/05/04 13:25:01,open,"737515-1,2,3","42,352,155",,3,,,33.92774,133.173632
今治市本町五丁目,今治市,コン柱,2022/06/01 00:00:00,open,"737422-1,2,3","21,41,247",,3,,,34.07262033,132.9983481
喜多郡内子町立山④,内子町,コン柱,2023/04/20 15:29:40,open,737578-1,214,CBSB838001031,1,,,33.5897,132.65655
今治市別名,今治市,コン柱,2024/05/05 22:56:59,open,"737363-4,5,6","307,161,66",,3,,,34.041917,132.97775
松山市平和通三丁目,松山市,屋上,2022/06/01 00:00:00,open,"737302-1,2,3","301,300,302",,3,,,33.8478096,132.7657555
宇和島市丸穂町一丁目,宇和島市,コン柱,2022/06/01 00:00:00,open,"737296-10,11,12","60,61,62",,3,,,33.2240944,132.5732436
八幡浜市保内町宮内①,八幡浜市,コン柱,2023/01/08 14:34:58,open,"737472-10,11,12","91,90,92",,3,,,33.493028,132.397144
大洲市平野町野田②,大洲市,コン柱,2024/04/28 19:26:51,open,"737444-7,8,9","52,96,98",,3,1,,33.47756,132.501363
松山市宮西一丁目①,松山市,コン柱,2022/06/01 00:00:00,open,"737299-1,2,3","29,141,28",,3,,,33.844819,132.752787
伊予郡松前町大字北川原,松前町,コン柱,2023/03/25 23:54:35,open,"737531-7,8,9","346,29,330",,3,,,33.799564,132.700769
新居浜市磯浦町,新居浜市,コン柱,2023/05/04 14:11:09,open,"737540-10,11,12","28,224,72",,3,3,3,33.954532,133.257037
今治市長沢,今治市,コン柱,2024/05/04 21:12:26,open,"737510-10,11","39,263",,2,2,1,33.995825,133.044896
今治市延喜②,今治市,コン柱,2022/06/01 00:00:00,open,"737366-4,5,6","185,183,184",,3,,,34.07134359,132.9590002
八幡浜市大平,八幡浜市,コン柱,2023/01/08 14:33:40,open,"737472-4,5,6","372,184,203",,3,,,33.47129,132.432507
西条市早川②,西条市,コン柱,2024/05/04 22:18:58,open,737590-4,314,CBSB838001362,1,,,33.908194,133.238444
松山市余戸南五丁目,松山市,コン柱,2023/04/20 07:57:20,open,"737559-4,5,6","16,291,14",,3,,,33.810759,132.724771
新居浜市神郷一丁目,新居浜市,コン柱,2023/06/10 14:10:13,open,"737552-9,10,11","331,94,192",,3,1,2,33.968109,133.318075
松山市問屋町,松山市,コン柱,2022/06/01 00:00:00,open,"737309-10,11,12","282,61,62",,3,,,33.864536,132.750225
松山市鷹子町,松山市,コン柱,2022/06/01 00:00:00,open,"737284-4,5,6","6,308,7",,3,,,33.815409,132.8110742
四国中央市下川町②,四国中央市,コン柱,2024/05/25 22:13:04,open,"737592-1,2","32,198",,2,,,34.00546449,133.6468746
今治市大西町九王②,今治市,コン柱,2024/05/05 23:18:07,open,"737416-1,2,3","98,318,121",,3,,,34.071913,132.927642
今治市南大門町一丁目,今治市,屋上,2022/06/01 00:00:00,open,"737359-4,5,6","166,165,167",,3,,,34.06513303,132.9972789
東温市山之内③,東温市,au共用,2022/06/01 00:00:00,open,742226-1,1,,1,,,33.86254103,132.9259596
今治市大西町九王①,今治市,コン柱,2024/05/05 23:18:59,open,"737429-4,5","327,349",,2,,,34.086324,132.929221
伊予市双海町高岸,伊予市,コン柱,2023/03/19 19:35:25,open,"737481-6,7","185,296",,2,,,33.682436,132.632981
喜多郡内子町臼杵④,内子町,衛星,2024/05/21 20:28:30,ready,742238-1,1,CBSB838001559,1,,,33.622472,132.846583
大洲市東大洲②,大洲市,コン柱,2023/03/17 22:29:57,open,"737544-6,7,8","281,280,279",,3,,,33.522499,132.578933
宇和島市妙典寺前,宇和島市,コン柱,2022/06/01 00:00:00,open,"737296-7,8,9","248,247,246",,3,,,33.21171,132.56495
宇和島市吉田町白浦①,宇和島市,コン柱,2024/04/28 14:02:39,open,"737589-4,5,6","330,248,319",,3,,,33.309818,132.528735
喜多郡内子町只海甲①,内子町,コン柱,2024/05/18 18:32:54,open,737612-3,120,CBSB838001279,1,,,33.523439,132.696229
西予市三瓶町皆江,西予市,コン柱,2023/06/20 18:57:50,open,"737585-1,2","256,257",,2,,,33.3412,132.40961
大洲市平野町野田③,大洲市,コン柱,2022/07/08 12:20:00,open,"737444-10,11,12","282,283,284",,3,,,33.495672,132.518556
西予市三瓶町垣生,西予市,コン柱,2023/04/22 17:28:16,open,737575-5,10,,1,,,33.386473,132.409811
松山市堀江町②,松山市,コン柱,2022/06/01 00:00:00,open,"737437-4,5,6","55,3,350",,3,,,33.90280041,132.744457
新居浜市船木①,新居浜市,コン柱,2023/04/16 11:06:33,open,"737489-4,5,6","31,366,119",,3,,,33.940151,133.335206
新居浜市上泉町,新居浜市,コン柱,2023/04/16 11:09:38,open,"737493-4,5,6","67,291,365",,3,,,33.937061,133.309786
喜多郡内子町河内,内子町,コン柱,2024/04/28 19:02:23,open,737602-1,41,CBSB838001246,1,,,33.5993722,132.6398026
西宇和郡伊方町与侈,伊方町,衛星,2024/04/28 20:34:42,open,"742169-1
742170-1
742171-1","387,394,380",CBSB838001322,3,,,33.389417,132.081361
伊予市中山町出渕③,伊予市,コン柱,2023/05/01 20:52:28,open,737480-4,1,CBSB838001315,1,,,33.640564,132.727229
松山市谷町,松山市,コン柱,2022/06/01 00:00:00,open,"737323-4,5,6","32,315,316",,3,,,33.88005561,132.7536683
宇和島市川内,宇和島市,コン柱,2024/04/28 20:26:16,ready,,,,2,,,33.194611,132.557694
新居浜市船木③,新居浜市,コン柱,2023/05/01 20:44:54,open,"737491-10,11,12","94,93,305",,3,,,33.932494,133.325899
松山市中西内,松山市,コン柱,2024/04/28 13:12:43,open,"737507-1,2,3","53,354,226",,3,,,33.971697,132.783799
宇和島市下波,宇和島市,コン柱,2022/06/01 00:00:00,open,"737422-7,8,9","152,150,151",,3,,,33.16783,132.45624
今治市吉海町名②,今治市,コン柱,2024/05/03 21:02:28,open,"737589-2,3","229,278",CBSB838000952,2,,,34.128082,133.033873
大洲市新谷②,大洲市,コン柱,2023/03/17 22:13:12,open,"737544-9,10,11","210,211,212",,3,1,3,33.534982,132.599293
松山市東垣生町,松山市,コン柱,2023/05/10 10:29:55,open,"737560-1,2,3","279,307,215",,3,,,33.814641,132.714537
宇和島市和霊東町三丁目,宇和島市,コン柱,2024/04/28 23:50:31,close,,,,,,,33.2304775,132.5709314
西条市下島山甲,西条市,コン柱,2023/05/04 14:08:51,open,"737521-4,5,6","355,141,299",,3,,,33.92653,133.206097
西宇和郡伊方町塩成,伊方町,コン柱,2023/01/08 14:42:34,close,,,,,,,33.4423314,132.2576056
東温市南方,東温市,屋上,2023/03/21 18:31:24,open,"737504-4,5,6","310,311,309",,3,,,33.799069,132.909578
松山市新浜町,松山市,屋上,2022/06/01 00:00:00,open,"737439-9,10","2,146",,2,,,33.87026497,132.7134649
今治市玉川町法界寺,今治市,コン柱,2023/04/28 21:25:21,open,"737497-9,10","73,72",,2,,,34.028824,132.962559
松山市北梅本町①,松山市,コン柱,2022/06/01 00:00:00,open,"737286-1,2,3","259,258,260",,3,,,33.80880453,132.8576238
今治市吉海町仁江①,今治市,コン柱,2024/04/27 20:35:49,open,"737567-1,2,3","147,209,328",,3,3,1,34.149462,133.056423
西条市飯岡①,西条市,コン柱,2023/05/31 23:49:03,open,"737521-1,2,3","213,281,319",,3,,,33.917873,133.2206
西予市三瓶町朝立②,西予市,コン柱,2023/03/24 22:04:37,open,"737500-9,10","14,12",,2,,,33.389539,132.429291
西予市三瓶町下泊,西予市,コン柱,2023/04/22 12:14:08,open,"737502-1,2","320,318",,2,,,33.342443,132.385344
今治市上浦町甘崎②,今治市,コン柱,2023/04/30 21:16:06,open,"737462-4,5,6","6,364,104",,3,,,34.245727,133.048193
新居浜市本郷一丁目,新居浜市,コン柱,2023/05/01 20:40:41,open,"737489-10,11,12","236,190,189",CBSB838000259,3,,,33.937493,133.284727
四国中央市妻鳥町①,四国中央市,コン柱,2023/03/03 21:10:29,open,"737459-7,8,9","254,10,258",,3,,,33.983023,133.575783
松山市北藤原町,松山市,屋上,2022/06/01 00:00:00,open,"737325-10,11,12","223,224,222",,3,,,33.833842,132.759668
今治市鯉池町二丁目,今治市,コン柱,2022/06/01 00:00:00,open,"737377-10,11,12","269,268,267",,3,,,34.05244079,132.9882371
東温市上林②,東温市,コン柱,2023/04/23 21:53:23,open,"737372-7,8,9","5,87,187",,3,,,33.758991,132.882877
北宇和郡鬼北町大字吉波,鬼北町,コン柱,2023/04/13 20:27:24,ready,,,,3,,,33.271894,132.632776
松山市勝岡町,松山市,コン柱,2022/06/01 00:00:00,open,"737288-7,8,9","87,89,88",,3,,,33.89934,132.72775
宇和島市吉田町浅川,宇和島市,コン柱,2022/06/01 00:00:00,close,,,,,,,33.264665,132.526537
北宇和郡鬼北町大字下鍵山②,鬼北町,コン柱,2023/03/19 20:35:12,open,"737549-7,8","243,245",,2,,,33.329938,132.799157
今治市玉川町長谷①,今治市,コン柱,2023/04/03 21:27:14,open,"737494-4,5,6","323,322,321",,3,,,34.0121,132.939173
西予市宇和町卯之町二丁目,西予市,コン柱,2023/03/24 22:09:59,open,"737524-10,11,12","195,197,196",,3,1,2,33.363363,132.509428
越智郡上島町岩城②,上島町,コン柱,2024/05/03 21:54:47,open,"737484-6,7","231,173",,2,,,34.244439,133.143325
西予市野村町高瀬,西予市,コン柱,2024/06/08 19:54:59,open,"737369-6,7,8","280,279,281",,3,1,,33.413453,132.633389
松山市今在家四丁目,松山市,コン柱,2024/04/28 12:49:45,open,"737289-7,8,9","50,3,49",,3,,,33.800681,132.794202
大洲市五郎①,大洲市,コン柱,2022/07/17 15:47:00,open,"737445-1,2,3","344 ,31, 66",,3,,,33.5267761,132.552374
大洲市若宮②,大洲市,コン柱,2022/06/01 00:00:00,close,,,,,,,33.5264088,132.5615009
東温市則之内④,東温市,コン柱,2023/06/13 21:41:51,open,"737504-10,11","132,88",,2,,,33.768621,132.915854
宇和島市津島町岩渕,宇和島市,コン柱,2022/06/01 00:00:00,open,"737370-7,8,9","0,1,230",,3,,,33.12425915,132.5534507
松山市三津三丁目,松山市,コン柱,2022/06/01 00:00:00,open,"737282-1,2,3","23,22,21",,3,,,33.862073,132.714348
今治市喜田村一丁目,今治市,コン柱,2023/04/23 21:24:16,open,"737513-3,4,5","318,115,38",,3,,,34.045543,133.019511
西予市宇和町卯之町四丁目,西予市,コン柱,2023/03/24 22:10:49,open,"737525-4,5,6","269,268,267",,3,1,3,33.360469,132.514259
西条市丹原町高松,西条市,コン柱,2024/05/04 21:28:02,open,"737588-2,3,4","191,141,340",CBSB838001427,3,,,33.89240458,133.0491258
八幡浜市日土町④,八幡浜市,衛星,2024/04/28 20:45:02,open,742195-1,285,CBSB838001342,1,,,33.515889,132.460083
今治市片山二丁目,今治市,コン柱,2022/06/01 00:00:00,open,"737363-10,11,12","90,91,92",,3,,,34.05291891,132.9816801
松山市高山町,松山市,コン柱,2022/06/01 00:00:00,open,"737283-10,11,12","209,208,207",,3,,,33.86848607,132.7239586
伊予郡砥部町大南,砥部町,コン柱,2023/03/03 20:38:00,open,"737556-1,2,3","19,365,363",,3,,,33.733474,132.789853
八幡浜市真網代①,八幡浜市,コン柱,2023/03/24 21:55:49,open,"737503-4,5","74,73",,2,,,33.414014,132.395678
今治市上浦町甘崎①,今治市,コン柱,2023/04/30 21:13:31,open,"737451-1,2,3","80,124,3",,3,,,34.239303,133.050837
四国中央市川之江町④,四国中央市,コン柱,2023/04/16 10:58:40,open,"737467-1,2,3","278,355,171",,3,,,34.005859,133.568695
四国中央市川之江町①,四国中央市,コン柱,2023/04/16 10:57:04,open,"737467-7,8,9","252,79,215",,3,,,34.011332,133.572077
四国中央市中之庄町②,四国中央市,コン柱,2024/04/28 22:10:34,open,"737332-1,2","80,369",,2,1,2,33.974409,133.536587
八幡浜市郷②,八幡浜市,コン柱,2023/06/17 18:10:23,open,"737584-9,10,11","40,41,42",,3,,,33.46519,132.456325
喜多郡内子町五十崎甲,内子町,コン柱,2024/04/28 19:19:58,open,"737605-1,2,3","309,292,56",,3,,,33.535157,132.636092
伊予市中村,伊予市,コン柱,2023/03/27 21:01:08,open,"737479-4,5,6","238,284,9",,3,1,2,33.737511,132.693172
