都道府県名,市区町村名,2022-04-17
愛媛県,愛媛県,482
愛媛県,松山市,109
愛媛県,今治市,53
愛媛県,宇和島市,35
愛媛県,八幡浜市,11
愛媛県,新居浜市,35
愛媛県,西条市,44
愛媛県,大洲市,25
愛媛県,伊予市,18
愛媛県,四国中央市,39
愛媛県,西予市,22
愛媛県,東温市,20
愛媛県,越智郡上島町,3
愛媛県,上浮穴郡久万高原町,12
愛媛県,伊予郡松前町,8
愛媛県,伊予郡砥部町,11
愛媛県,喜多郡内子町,10
愛媛県,西宇和郡伊方町,8
愛媛県,北宇和郡松野町,2
愛媛県,北宇和郡鬼北町,6
愛媛県,南宇和郡愛南町,11
