,場所,市区町村,場所補足,設置タイプ,状況,sector,sub6,ミリ波,eNB-LCID,PCI,基地局ID,緯度,経度,更新日時,color,icon
175,四国中央市中之庄町①,四国中央市,,コン柱,open,3,,,"737332-4,5,6","29,28,27",,33.973999,133.532665,2022/06/01 00:00:00,green,signal
176,四国中央市川之江町①,四国中央市,,コン柱,open,3,,,"737467-7,8,9","252,79,215",,34.011332,133.572077,2023/04/16 10:57:04,green,signal
177,四国中央市川之江町長須,四国中央市,,コン柱,open,2,,,"737465-1,2","220,21",,34.033411,133.587205,2023/04/29 00:12:01,green,signal
178,四国中央市三島中央一丁目,四国中央市,フジ三島店,コン柱,open,3,,,"737368-1,2,3","211,210,212",,33.98262739,133.5396531,2022/06/01 00:00:00,green,signal
179,四国中央市金田町半田①,四国中央市,,コン柱,open,3,,,"737459-10,11,12","246,379,356",,33.993774,133.611346,2023/03/03 21:03:50,green,signal
180,四国中央市金田町金川①,四国中央市,,コン柱,open,3,,,"737459-4,5,6","108,368,65",,33.989554,133.595883,2023/03/03 21:07:45,green,signal
181,四国中央市妻鳥町①,四国中央市,伊予三島IC付近,コン柱,open,3,,,"737459-7,8,9","254,10,258",,33.983023,133.575783,2023/03/03 21:10:29,green,signal
182,四国中央市妻鳥町②,四国中央市,フジグラン川之江店,コン柱,open,3,,,"737465-5,6,7","142,347,25",,33.993081,133.575708,2022/12/06 23:33:01,green,signal
183,四国中央市金生町山田井,四国中央市,,コン柱,open,3,,,"737466-1,2,3","213,290,331",,34.019739,133.60594,2023/06/13 18:51:00,green,signal
184,四国中央市川之江町③,四国中央市,,コン柱,open,2,,,"737465-3,4","107,375",,34.012812,133.590422,2023/06/17 07:14:33,green,signal
185,四国中央市土居町藤原,四国中央市,,コン柱,open,3,,,"737330-1,2,3","330,50,142",,33.9717172,133.4421978,2022/06/01 00:00:00,green,signal
186,【5G】四国中央市妻鳥町③,四国中央市,,コン柱,open,2,1,2,"737466-10,11","245,295",,33.976647,133.58015,2023/06/17 07:18:10,darkblue,plane
187,四国中央市寒川町③,四国中央市,,コン柱,open,3,,,"737391-1,2,3","44,42,43",,33.9627472,133.5195571,2022/06/01 00:00:00,green,signal
188,四国中央市土居町上野①,四国中央市,,コン柱,open,3,,,"737509-2,3,4","3,307,5",,33.947098,133.390963,2023/04/16 11:16:39,green,signal
189,四国中央市中曽根町②,四国中央市,セントラルマンションS,屋上,open,3,,,"737393-1,2,3","341,157,342",,33.97845761,133.5508908,2022/06/01 00:00:00,green,signal
190,四国中央市金田町金川②,四国中央市,,コン柱,ready,2,,,,,,33.97840377,133.598057,2022/06/01 00:00:00,orange,wrench
191,四国中央市妻鳥町④,四国中央市,,コン柱,open,3,,,"737467-4,5,6","167,172,279",,33.996413,133.567959,2022/12/06 23:36:13,green,signal
192,四国中央市三島宮川四丁目,四国中央市,リュウグウ,屋上,open,3,,,"737393-4,5,6","158,67,156",,33.98262384,133.5504513,2022/06/01 00:00:00,green,signal
193,四国中央市川之江町④,四国中央市,,コン柱,open,3,,,"737467-1,2,3","278,355,171",,34.005859,133.568695,2023/04/16 10:58:40,green,signal
194,四国中央市金生町下分②,四国中央市,,コン柱,open,3,,,"737467-10,11,12","325,285,212",,34.004412,133.58,2023/03/03 21:11:53,green,signal
195,四国中央市豊岡町大町,四国中央市,,コン柱,open,3,,,"737403-1,2,3","355,242,252",,33.9613709,133.4853164,2022/06/01 00:00:00,green,signal
196,四国中央市土居町津根②,四国中央市,佐川急便新居浜営業所,屋上,open,3,,,"737400-4,5,6","55,362,318",,33.97386878,133.4558247,2022/06/01 00:00:00,green,signal
197,四国中央市上分町,四国中央市,,コン柱,open,3,,,"737468-1,2,3","156,332,8",,33.995169,133.583055,2023/03/03 21:09:10,green,signal
198,越智郡上島町岩城①,上島町,,コン柱,open,3,,,"737430-4,5,6","237,239,82",,34.26933428,133.1468893,2022/06/01 00:00:00,green,signal
199,越智郡上島町弓削佐島,上島町,,コン柱,ready,3,,,,,,34.252508,133.188911,2022/06/01 00:00:00,orange,wrench
200,越智郡上島町岩城②,上島町,,コン柱,open,2,,,"737409-7,8","14,175",,34.24443918,133.1433249,2022/06/01 00:00:00,green,signal
201,越智郡上島町生名①,上島町,,コン柱,open,3,,,"737400-7,8,9","177,286,26",,34.2668426,133.1849265,2022/06/01 00:00:00,green,signal
202,越智郡上島町弓削上弓削,上島町,,コン柱,ready,2,,,,,,34.27640993,133.2097662,2022/06/01 00:00:00,orange,wrench
203,越智郡上島町弓削下弓削,上島町,,コン柱,ready,,,,,,,34.259628,133.203011,2022/06/01 00:00:00,orange,wrench
204,越智郡上島町生名②,上島町,西浦集会所,コン柱,open,3,,,"737402-4,5,6","82,327,329",,34.273271,133.172567,2022/12/04 22:19:15,green,signal
205,松山市東方町,松山市,,コン柱,open,3,,,"737292-4,5,6","221,219,220",,33.7713417,132.8152126,2022/06/01 00:00:00,green,signal
206,松山市平和通三丁目,松山市,四国通建ビル,屋上,open,3,,,"737302-1,2,3","301,300,302",,33.8478096,132.7657555,2022/06/01 00:00:00,green,signal
207,松山市清住一丁目,松山市,,コン柱,open,3,,,"737282-7,8,9","140,138,139",,33.8536943,132.7166716,2022/06/01 00:00:00,green,signal
208,松山市鷹子町,松山市,,コン柱,open,3,,,"737284-4,5,6","6,308,7",,33.815409,132.8110742,2022/06/01 00:00:00,green,signal
209,松山市中野町,松山市,,コン柱,open,3,,,"737292-1,2,3","35,34,33",,33.7776925,132.8327865,2022/06/01 00:00:00,green,signal
210,松山市北久米町,松山市,,コン柱,open,3,,,"737284-7,8,9","84,85,86",,33.817731,132.799096,2022/06/01 00:00:00,green,signal
211,松山市三津三丁目,松山市,,コン柱,open,3,,,"737282-1,2,3","23,22,21",,33.862073,132.714348,2022/06/01 00:00:00,green,signal
212,松山市東長戸一丁目,松山市,,コン柱,open,3,,,"737309-1,2,3","329,64,285",,33.8679469,132.7517463,2022/06/01 00:00:00,green,signal
213,松山市大浦,松山市,,コン柱,open,2,,,"737313-7,8","296,295",,33.999727,132.773055,2022/06/01 00:00:00,green,signal
214,松山市森松町①,松山市,伊予銀行森松支店,コン柱,open,3,,,"737328-1,2,3","78,283,284",,33.7913981,132.7906268,2022/06/01 00:00:00,green,signal
215,【5G】松山市森松町②,松山市,,コン柱,open,3,1,2,"737286-4,5,6","277,278,276",,33.79106,132.796709,2022/07/29 21:51:08,darkblue,plane
216,松山市南高井町,松山市,,コン柱,open,3,,,"737284-10,11,12","182,181,180",,33.7897788,132.8238126,2022/06/01 00:00:00,green,signal
217,松山市来住町,松山市,,コン柱,open,3,,,"737314-1,2,3","231,311,361",,33.8089968,132.803559,2022/06/01 00:00:00,green,signal
218,松山市朝生田町二丁目,松山市,,コン柱,open,3,,,"737327-4,5,6","92,90,91",,33.822484,132.76919,2022/06/01 00:00:00,green,signal
219,松山市小栗二丁目,松山市,,コン柱,open,3,,,"737325-4,5,6","172,65,63",,33.826208,132.761086,2022/06/01 00:00:00,green,signal
220,松山市東石井六丁目,松山市,ローソン松山東石井六丁目店,コン柱,open,3,,,"737301-1,2,3","312,314,313",,33.8133457,132.7781011,2022/06/01 00:00:00,green,signal
221,松山市和泉南二丁目,松山市,,コン柱,open,3,,,"737290-1,2,3","348,349,350",,33.8159314,132.7616821,2022/06/01 00:00:00,green,signal
222,【5G】松山市古川南三丁目,松山市,,コン柱,open,3,1,2,"737285-1,2,3","129,131,130",,33.805013,132.765628,2022/07/29 21:52:01,darkblue,plane
223,松山市今在家一丁目,松山市,,コン柱,open,3,,,"737289-1,2,3","32,31,30",,33.808689,132.793041,2022/06/01 00:00:00,green,signal
224,松山市水泥町,松山市,,コン柱,open,3,,,"737286-7,8,9","0,1,2",,33.8050128,132.8239532,2022/06/01 00:00:00,green,signal
225,松山市北斎院町①,松山市,,コン柱,open,3,,,"737299-4,5,6","271,272,270",,33.83723,132.739155,2022/06/01 00:00:00,green,signal
226,松山市宮西一丁目①,松山市,,コン柱,open,3,,,"737299-1,2,3","29,141,28",,33.844819,132.752787,2022/06/01 00:00:00,green,signal
227,松山市北井門二丁目,松山市,,コン柱,open,3,,,"737310-1,2,3","267,269,268",,33.804465,132.780298,2022/06/01 00:00:00,green,signal
