,場所,市区町村,場所補足,設置タイプ,状況,sector,sub6,ミリ波,eNB-LCID,PCI,基地局ID,緯度,経度,更新日時,color,icon
303,松山市古三津六丁目,松山市,,コン柱,open,3,,,"737283-4,5,6","369,371,370",,33.85650251,132.7211284,2022/06/01 00:00:00,green,signal
304,松山市安城寺町①,松山市,,屋上,open,3,,,"737391-7,8,9","52,51,53",,33.8740798,132.7414818,2022/06/01 00:00:00,green,signal
305,【屋内】松山市大街道一丁目,松山市,楽天モバイル松山大街道店内,屋内,open,1,,,747281-1,404,,33.8377225,132.7702389,2022/06/01 00:00:00,green,home
306,【屋内】松山市宮西一丁目②,松山市,エディオン松山本店内,屋内,open,1,,,"747282-1,2","404,405",,33.84446215,132.7520179,2022/06/01 00:00:00,green,home
307,松山市由良町,松山市,,コン柱,close,,,,,,,33.90309086,132.6819445,2022/06/01 00:00:00,red,remove
308,松山市石手二丁目,松山市,,コン柱,open,3,,,"737565-6,7,8","185,107,127",,33.848007,132.7992,2023/05/10 11:34:31,green,signal
309,松山市中島大浦,松山市,,コン柱,close,,,,,,,33.9750118,132.6293339,2022/06/01 00:00:00,red,remove
310,松山市中島粟井,松山市,,コン柱,close,,,,,,,33.99360952,132.6402727,2022/06/01 00:00:00,red,remove
311,松山市富久町①,松山市,富久団地内,コン柱,open,3,,,"737560-4,5,6","354,163,278",,33.824434,132.724019,2023/05/10 10:41:54,green,signal
312,松山市南江戸五丁目,松山市,福岡マンション,屋上,open,3,,,"737299-10,11,12","45,46,47",,33.84129607,132.7462756,2022/06/01 00:00:00,green,signal
313,松山市高浜町五丁目,松山市,,コン柱,open,2,,,"737283-7,8","17,16",,33.88801191,132.7035985,2022/06/01 00:00:00,green,signal
314,松山市西垣生町③,松山市,,コン柱,open,3,,,"737442-1,2,3","160,98,312",,33.815335,132.709369,2022/07/25 20:19:01,green,signal
315,松山市萩原,松山市,チサンカントリークラブ北条駐車場,コン柱,close,,,,,,,33.99392726,132.8273161,2022/06/01 00:00:00,red,remove
316,松山市一番町三丁目,松山市,センターポイントビル,屋上,open,2,,,"737416-4,5","364,57",,33.84149401,132.7689644,2022/06/01 00:00:00,green,signal
317,松山市平和通二丁目,松山市,KITA Building,屋上,open,3,,,"737403-10,11,12","125,123,124",,33.84736109,132.7704809,2022/06/01 00:00:00,green,signal
318,松山市堀江町②,松山市,,コン柱,open,3,,,"737437-4,5,6","55,3,350",,33.90280041,132.744457,2022/06/01 00:00:00,green,signal
319,松山市木屋町二丁目,松山市,アクティブ木屋町,屋上,open,3,,,"737302-4,5,6","103,177,305",,33.85058402,132.7593792,2022/06/01 00:00:00,green,signal
320,松山市北斎院町③,松山市,,コン柱,open,3,,,"737560-10,11,12","51,308,313",,33.835155,132.734469,2023/05/10 11:10:19,green,signal
321,松山市古三津三丁目,松山市,,コン柱,open,3,,,"737422-10,11,12","319,318,320",,33.85922485,132.7313673,2022/06/01 00:00:00,green,signal
322,松山市東垣生町,松山市,松山空港制限表面のため高さ制限あり,コン柱,open,3,,,"737560-1,2,3","279,307,215",,33.814641,132.714537,2023/05/10 10:29:55,green,signal
323,松山市泉町,松山市,ラ・ロンコントル泉町,屋上,open,3,,,"737304-4,5,6","205,204,206",,33.83259513,132.7666123,2022/06/01 00:00:00,green,signal
324,松山市土居田町②,松山市,,コン柱,open,3,,,"737561-7,8,9","69,173,73",CBSB838000987,33.821165,132.74966,2023/03/19 20:01:15,green,signal
325,松山市千舟町五丁目,松山市,New Grand Building,屋上,open,3,,,"737429-8,9,10",14230941,,33.83655245,132.7627094,2022/06/01 00:00:00,green,signal
326,松山市高山町,松山市,,コン柱,open,3,,,"737283-10,11,12","209,208,207",,33.86848607,132.7239586,2022/06/01 00:00:00,green,signal
327,松山市新浜町,松山市,,屋上,open,2,,,"737439-9,10","2,146",,33.87026497,132.7134649,2022/06/01 00:00:00,green,signal
328,松山市西長戸町,松山市,,コン柱,open,3,,,"737432-1,2,3","58,321,374",,33.86622759,132.745101,2022/06/01 00:00:00,green,signal
329,松山市久谷町,松山市,,コン柱,open,3,,,"737440-1,2,3","352,120,140",,33.737949,132.830672,2022/07/28 19:42:32,green,signal
330,松山市三町三丁目,松山市,仙波マンション,屋上,open,3,,,"737440-4,5,6","22,336,359",,33.82400447,132.8004874,2022/06/01 00:00:00,green,signal
331,松山市久米窪田町,松山市,,コン柱,open,3,,,"737432-4,5,6","105,344,13",,33.80718178,132.814699,2022/06/01 00:00:00,green,signal
332,松山市市坪北二丁目,松山市,,コン柱,open,3,,,"737293-4,5,6","93,94,95",,33.8134448,132.752258,2022/06/01 00:00:00,green,signal
333,松山市石手四丁目,松山市,グリーンハイツ石手,屋上,open,3,,,"737432-10,11,12","321,323,322",,33.8427755,132.7909155,2022/06/01 00:00:00,green,signal
334,松山市菅沢町,松山市,,コン柱,close,,,,,,,33.90338708,132.8114884,2022/06/01 00:00:00,red,remove
335,松山市住吉一丁目,松山市,Royal Annex ベイフロント,屋上,open,3,,,"737439-4,5,6","56,55,54",,33.86433948,132.7180098,2022/06/01 00:00:00,green,signal
336,松山市北持田町,松山市,ピリカコスモス北持田,屋上,open,3,,,"737432-7,8,9","279,172,323",,33.84550992,132.7783105,2022/06/01 00:00:00,green,signal
337,松山市南吉田町②,松山市,松山空港ビル,屋上,open,3,,,"737434-4,5,6","34,345,35",,33.829565,132.703572,2022/07/29 21:57:26,green,signal
338,松山市久万ノ台②,松山市,吉永企業グループ,屋上,open,3,,,"737300-4,5,6","286,287,285",,33.856887,132.743293,2022/07/29 21:55:37,green,signal
339,松山市湊町八丁目,松山市,,屋上,open,3,,,"737439-1,2,3","88,320,36",,33.835114,132.752598,2022/07/29 21:53:17,green,signal
340,松山市道後多幸町,松山市,道後館,屋上,open,3,,,"737437-1,2,3","135,137,136",,33.853444,132.784594,2022/07/29 21:52:32,green,signal
341,松山市南梅本町,松山市,,コン柱,open,3,,,"737440-9,10,11","254,5,3",,33.80257,132.8341964,2022/06/01 00:00:00,green,signal
342,【5G】伊予市中村,伊予市,,コン柱,open,3,1,2,"737479-4,5,6","238,284,9",,33.737511,132.693172,2023/03/27 21:01:08,darkblue,plane
343,伊予市灘町,伊予市,マルナカ伊予店付近,コン柱,open,2,,,"737487-1,2","148,293",,33.757644,132.698445,2023/03/21 17:43:41,green,signal
344,伊予市宮下,伊予市,,コン柱,open,3,,,"737478-3,4,5","13,12,22",,33.783577,132.761148,2023/03/22 22:00:01,green,signal
345,伊予市下三谷①,伊予市,,コン柱,open,3,,,"737479-1,2,3","124,111,80",,33.770622,132.719528,2023/03/27 22:48:00,green,signal
346,伊予市米湊②,伊予市,港南中学校付近,コン柱,open,3,,,"737478-9,10,11","208,209,207",,33.75072,132.706721,2023/03/21 17:36:14,green,signal
347,伊予市上三谷,伊予市,,コン柱,open,3,,,"737478-6,7,8","87,362,18",,33.765263,132.739221,2023/03/21 17:37:31,green,signal
348,伊予市大平①,伊予市,犬寄大橋付近,コン柱,open,3,,,"737483-10,11,12","170,169,276",,33.701515,132.707444,2023/03/21 17:20:11,green,signal
349,伊予市米湊①,伊予市,,コン柱,open,3,,,"737479-7,8,9","188,186,187",,33.756845,132.707499,2023/03/21 17:42:18,green,signal
350,伊予市双海町串①,伊予市,,コン柱,open,2,,,"737394-7,8","35,52",,33.65192,132.57975,2022/06/01 00:00:00,green,signal
351,伊予市双海町上灘①,伊予市,,コン柱,open,2,,,"737485-4,5","357,358",,33.68778,132.63647,2023/03/19 19:36:39,green,signal
352,伊予市下三谷②,伊予市,ファミリーマート伊予下三谷店付近,コン柱,open,3,,,"737483-7,8,9","26,132,133",,33.764981,132.725065,2023/03/21 17:38:48,green,signal
353,伊予市上吾川,伊予市,,コン柱,open,3,,,"737483-1,2,3","176,289,174",,33.756511,132.719047,2023/03/21 17:41:02,green,signal
354,【5G】伊予市大平②,伊予市,,コン柱,open,2,1,2,"737478-1,2","316,317",,33.722794,132.708438,2023/03/27 20:59:08,darkblue,plane
355,伊予市本郡,伊予市,,コン柱,open,2,,,"737484-1,2","47,46",,33.749284,132.688537,2023/03/21 17:46:19,green,signal
356,伊予市双海町高野川,伊予市,,コン柱,open,2,,,"737481-1,2","229,45",,33.705903,132.663506,2023/03/19 19:37:37,green,signal
357,伊予市下唐川,伊予市,,コン柱,open,2,,,"737408-1,2","334,333",,33.72241599,132.7375341,2022/06/01 00:00:00,green,signal
358,伊予市中山町中山①,伊予市,,コン柱,open,3,,,"737480-1,2,3","340,341,339",,33.670559,132.695694,2023/03/21 17:22:27,green,signal
359,伊予市八倉,伊予市,,コン柱,open,3,,,"737482-9,10,11","280,126,128",,33.786042,132.769554,2023/03/03 20:52:24,green,signal
360,伊予市中山町中山丑,伊予市,ローソン伊予中山町店,コン柱,open,2,,,"737449-10,11","210,260",,33.635293,132.708357,2023/03/26 00:06:18,green,signal
361,伊予市大平乙,伊予市,,コン柱,open,3,,,"737480-5,6,7","6,8,7",,33.711212,132.710826,2023/03/21 17:18:37,green,signal
362,伊予市中山町中山②,伊予市,,コン柱,ready,2,,,,,,33.642087,132.673187,2022/09/05 21:00:49,orange,wrench
363,伊予市双海町高岸,伊予市,,コン柱,open,2,,,"737481-6,7","185,296",,33.682436,132.632981,2023/03/19 19:35:25,green,signal
364,伊予市下吾川,伊予市,,コン柱,open,3,,,"737480-8,9,10","226,266,227",,33.766139,132.705748,2023/03/26 00:01:31,green,signal
365,東温市則之内①,東温市,,コン柱,open,2,,,"737505-1,2","32,30",,33.795516,132.950761,2023/03/21 18:29:38,green,signal
366,【5G】東温市則之内②,東温市,,コン柱,open,2,1,2,"737505-3,4","214,253",,33.79352,132.931501,2023/03/21 17:54:30,darkblue,plane
367,東温市北野田,東温市,,コン柱,open,3,,,"737371-1,2,3","72,73,74",,33.7928904,132.8412094,2022/06/01 00:00:00,green,signal
368,東温市田窪①,東温市,香積寺駐車場,コン柱,open,3,,,"737382-1,2,3","356,142,183",,33.792503,132.863218,2022/06/01 00:00:00,green,signal
369,東温市下林①,東温市,旭食品松山支店付近,コン柱,open,3,,,"737372-1,2,3","241,23,132",,33.77229967,132.884171,2022/06/01 00:00:00,green,signal
370,【5G】東温市松瀬川①,東温市,,コン柱,open,3,1,2,"737383-1,2,3","321,322,323",,33.80531136,132.9223369,2022/06/01 00:00:00,darkblue,plane
371,東温市上村,東温市,,コン柱,open,3,,,"737386-1,2,3","319,171,8",,33.776375,132.848793,2023/04/23 21:55:34,green,signal
372,東温市見奈良,東温市,,コン柱,open,3,,,"737382-4,5,6","226,227,225",,33.79231606,132.882263,2022/06/01 00:00:00,green,signal
373,【5G】東温市上林①,東温市,,コン柱,open,2,1,2,"737372-4,5","304,305",,33.75296068,132.8858313,2022/06/01 00:00:00,darkblue,plane
374,東温市則之内③,東温市,,コン柱,open,2,,,"737506-1,2","228,229",,33.791902,132.919503,2023/06/13 21:29:16,green,signal
375,東温市北方,東温市,,コン柱,open,3,,,"737504-7,8,9","25,168,248",,33.802725,132.894816,2023/03/21 18:33:14,green,signal
376,東温市則之内④,東温市,,コン柱,open,2,,,"737504-10,11","132,88",,33.768621,132.915854,2023/06/13 21:41:51,green,signal
377,【衛星】東温市山之内①,東温市,吾味集落,衛星,open,1,,,742213-1,1,,33.86515386,132.921991,2022/06/01 00:00:00,green,globe
378,【衛星】東温市山之内②,東温市,柚ノ木集落,衛星,open,1,,,742203-1,1,,33.860023,132.925755,2022/10/02 18:57:39,green,globe
379,東温市志津川,東温市,ローソン東温志津川店付近,コン柱,open,3,,,"737382-7,8,9","329,327,328",,33.80047736,132.8710169,2022/06/01 00:00:00,green,signal
380,東温市南方,東温市,川内マンション,屋上,open,3,,,"737504-4,5,6","310,311,309",,33.799069,132.909578,2023/03/21 18:31:24,green,signal
381,【au共用】東温市山之内③,東温市,,au共用,open,1,,,742226-1,1,,33.86254103,132.9259596,2022/06/01 00:00:00,green,adjust
382,【ピコセル】東温市樋口①,東温市,,ピコセル,open,1,,,752280-1,387,,33.805811,132.883144,2022/08/04 08:35:42,green,folder-close
383,【衛星】東温市松瀬川②,東温市,,衛星,open,1,,,742202-1,1,,33.8286865,132.9530611,2022/06/01 00:00:00,green,globe
384,【au共用】東温市山之内木地,東温市,,au共用,open,1,,,742225-1,1,,33.8695462,132.9455027,2022/06/01 00:00:00,green,adjust
385,東温市田窪②,東温市,,コン柱,open,3,,,"737437-10,11,12","77,177,178",,33.7887411,132.8575634,2022/06/01 00:00:00,green,signal
386,【5G】上浮穴郡久万高原町入野,久万高原町,やすらぎの宿でんこ,コン柱,open,3,1,1,"737531-1,2,3","318,319,320",,33.664154,132.897181,2023/03/19 20:08:12,darkblue,plane
387,上浮穴郡久万高原町西明神①,久万高原町,,コン柱,open,3,,,"737531-4,5,6","183,184,185",,33.67514,132.88612,2023/03/19 20:05:47,green,signal
388,上浮穴郡久万高原町露峰,久万高原町,,コン柱,open,3,,,"737530-10,11,12","6,7,8",,33.615187,132.900104,2023/03/19 20:17:16,green,signal
389,上浮穴郡久万高原町下畑野川,久万高原町,,コン柱,open,3,,,"737530-4,5,6","179,177,70",,33.674468,132.928229,2023/03/19 20:10:07,green,signal
390,上浮穴郡久万高原町久万,久万高原町,,コン柱,open,3,,,"737530-1,2,3","25,26,24",,33.656478,132.901601,2023/03/19 20:12:07,green,signal
391,上浮穴郡久万高原町菅生,久万高原町,,コン柱,open,3,,,"737529-8,9,10","287,285,286",,33.642597,132.911542,2023/03/19 20:14:59,green,signal
392,上浮穴郡久万高原町直瀬,久万高原町,,コン柱,open,3,,,"737529-2,3,4","324,233,231",,33.706192,132.959651,2023/04/19 23:52:20,green,signal
393,伊予郡松前町大字出作,松前町,北伊予駅付近,コン柱,open,3,,,"737533-10,11,12","278,37,177",,33.787584,132.750828,2023/03/25 23:51:05,green,signal
394,伊予郡松前町大字北黒田①,松前町,,コン柱,open,3,,,"737533-7,8,9","350,151,117",,33.77753,132.702093,2023/03/26 00:00:25,green,signal
395,【5G】伊予郡松前町大字上高柳,松前町,,コン柱,open,3,1,2,"737530-7,8,9","190,62,255",,33.798128,132.734838,2023/03/25 23:52:06,darkblue,plane
396,伊予郡松前町大字浜,松前町,りょう花松前店,コン柱,open,3,,,"737532-7,8,9","101,351,274",,33.783187,132.713366,2023/03/25 23:58:23,green,signal
397,【5G】伊予郡松前町大字昌農内,松前町,,コン柱,open,3,1,2,"737533-4,5,6","299,49,48",,33.802558,132.714763,2023/03/25 23:53:22,darkblue,plane
398,伊予郡松前町大字徳丸,松前町,,コン柱,open,3,,,"737532-10,11,12","335,333,199",,33.795389,132.754415,2023/03/25 23:50:04,green,signal
399,伊予郡松前町大字恵久美,松前町,,コン柱,open,3,,,"737533-1,2,3","191,102,301",,33.788525,132.729641,2023/03/22 22:01:41,green,signal
400,伊予郡松前町大字西古泉,松前町,,コン柱,open,3,,,"737532-4,5,6","248,139,120",,33.794159,132.710493,2023/03/25 23:55:36,green,signal
401,伊予郡松前町大字鶴吉,松前町,松前町国体記念ホッケー公園 ホッケー場,コン柱,open,3,,,"737482-4,5,6","137,337,171",,33.778432,132.741987,2023/03/22 21:50:41,green,signal
402,伊予郡松前町大字筒井,松前町,松前総合文化センター,屋上,open,3,,,"737532-1,2,3","183,269,286",,33.786738,132.711756,2023/03/25 23:57:24,green,signal
403,伊予郡砥部町重光,砥部町,フジ砥部店付近,コン柱,open,3,,,"737329-4,5,6","118,117,20",,33.783769,132.784491,2022/06/01 00:00:00,green,signal
404,【5G】伊予郡砥部町宮内①,砥部町,レデイ薬局砥部宮内店,コン柱,open,3,1,3,"737555-1,2,3","345,346,347",,33.755087,132.788813,2023/03/03 20:45:04,darkblue,plane
405,【5G】伊予郡砥部町上原町,砥部町,,コン柱,open,3,1,2,"737559-1,2,3","57,296,124",,33.76909,132.79023,2023/03/03 20:47:01,darkblue,plane
406,伊予郡砥部町高尾田①,砥部町,フジ砥部町原町店駐車場,コン柱,open,3,,,"737556-8,9,10","261,88,230",,33.774678,132.793895,2023/03/03 20:50:30,green,signal
407,伊予郡砥部町高尾田②,砥部町,,コン柱,open,3,,,"737328-4,5,6","159,160,161",,33.78114791,132.7956445,2022/06/01 00:00:00,green,signal
408,伊予郡砥部町宮内②,砥部町,コスモス砥部店付近,コン柱,open,3,,,"737554-7,8,9","38,142,36",,33.748763,132.790444,2023/03/03 20:43:36,green,signal
409,伊予郡砥部町北川毛,砥部町,,コン柱,open,3,,,"737556-4,5,6","357,358,359",,33.742045,132.791308,2023/03/03 20:39:28,green,signal
410,伊予郡砥部町川井,砥部町,,コン柱,open,3,,,"737555-9,10","78,79",,33.749607,132.776039,2023/03/24 22:22:03,green,signal
411,伊予郡砥部町川登①,砥部町,,コン柱,open,2,,,"737554-5,6","115,285",,33.720623,132.797368,2023/03/03 20:33:45,green,signal
412,伊予郡砥部町大南,砥部町,,コン柱,open,3,,,"737556-1,2,3","19,365,363",,33.733474,132.789853,2023/03/03 20:38:00,green,signal
413,伊予郡砥部町岩谷口,砥部町,,コン柱,open,3,,,"737555-6,7,8","134,156,133",,33.73114,132.796906,2023/03/03 20:35:44,green,signal
414,伊予郡砥部町総津,砥部町,,コン柱,open,3,,,"737403-4,5,6","11,10,9",,33.62943866,132.7967147,2022/06/01 00:00:00,green,signal
415,宇和島市錦町,宇和島市,アイティシー宇和島ビル,コン柱,open,3,,,"737296-1,2,3","161,159,160",,33.2247907,132.5673689,2022/06/01 00:00:00,green,signal
416,【5G】宇和島市伊吹町,宇和島市,,コン柱,open,3,1,2,"737294-1,2,3","110,108,109",,33.234293,132.568957,2022/06/01 00:00:00,darkblue,plane
417,宇和島市高串①,宇和島市,高光駅付近,コン柱,open,2,,,"737343-1,2","357,358",,33.256842,132.573928,2022/06/01 00:00:00,green,signal
418,宇和島市夏目町二丁目,宇和島市,宇和島信用金庫付近,コン柱,open,3,,,"737345-1,2,3","26,25,24",,33.205578,132.553682,2022/06/01 00:00:00,green,signal
419,宇和島市吉田町立間①,宇和島市,立間駅付近,コン柱,open,2,,,"737348-7,8","377,375",,33.297423,132.539422,2022/06/01 00:00:00,green,signal
420,宇和島市高串②,宇和島市,,コン柱,open,3,,,"737343-4,5,6","252,253,254",,33.26403621,132.5677479,2022/06/01 00:00:00,green,signal
421,宇和島市遊子①,宇和島市,,コン柱,open,2,,,"737369-9,10","363,365",,33.187327,132.458446,2022/06/01 00:00:00,green,signal
422,宇和島市遊子②,宇和島市,,コン柱,open,2,,,"737427-4,5","311,310",,33.189197,132.457303,2022/06/01 00:00:00,green,signal
423,宇和島市高串③,宇和島市,コインランドリーNO.2付近,コン柱,open,3,,,"737347-1,2,3","6,7,8",,33.244715,132.571339,2022/06/01 00:00:00,green,signal
424,宇和島市吉田町立間②,宇和島市,JAルミエールよしだ,コン柱,open,2,,,"737348-9,10","124,125",,33.287839,132.541629,2022/06/01 00:00:00,green,signal
425,宇和島市津島町高田①,宇和島市,,コン柱,open,2,,,"737399-3,4,5","187,11,10",,33.139393,132.523512,2022/06/01 00:00:00,green,signal
426,宇和島市祝森①,宇和島市,,コン柱,close,,,,,,,33.176958,132.552198,2022/06/01 00:00:00,red,remove
427,宇和島市野川,宇和島市,等覚寺駐車場,コン柱,open,3,,,"737296-4,5,6","52,53,51",,33.216929,132.573356,2022/06/01 00:00:00,green,signal
428,宇和島市吉田町南君①,宇和島市,南君東集会所前,コン柱,open,2,,,"737387-1,2","112,111",,33.268935,132.50273,2022/06/01 00:00:00,green,signal
429,宇和島市三間町宮野下,宇和島市,宮野下駅,コン柱,open,3,,,"737535-7,8,9","344,343,342",,33.289252,132.606444,2023/04/13 20:28:58,green,signal
430,宇和島市三間町大内,宇和島市,二名郵便局,コン柱,open,3,,,"737364-7,8,9","178,179,177",,33.286279,132.643576,2022/06/01 00:00:00,green,signal
431,宇和島市吉田町法花津,宇和島市,玉津小,コン柱,open,3,,,"737348-4,5,6","156,157,158",,33.318466,132.520371,2022/06/01 00:00:00,green,signal
432,宇和島市柿原,宇和島市,,コン柱,open,3,,,"737367-1,2,3","297,299,298",,33.23761,132.57737,2022/06/01 00:00:00,green,signal
433,宇和島市津島町岩渕,宇和島市,,コン柱,open,3,,,"737370-7,8,9","0,1,230",,33.12425915,132.5534507,2022/06/01 00:00:00,green,signal
434,宇和島市百之浦,宇和島市,,コン柱,open,2,,,"737341-7,8","369,371",,33.22298741,132.5274456,2022/06/01 00:00:00,green,signal
435,宇和島市大浦,宇和島市,大浦自治会館,コン柱,open,3,,,"737353-1,2,3","0,1,2",,33.23690509,132.5516816,2022/06/01 00:00:00,green,signal
436,宇和島市吉田町河内,宇和島市,,コン柱,open,3,,,"737426-10,11,12","356,354,355",,33.28734187,132.5002023,2022/06/01 00:00:00,green,signal
437,宇和島市津島町上畑地,宇和島市,畑地公民館,コン柱,open,2,,,"737380-8,9","233,232",,33.08906352,132.5133152,2022/06/01 00:00:00,green,signal
438,宇和島市津島町北灘,宇和島市,,コン柱,open,2,,,"737388-4,5","14,12",,33.11438774,132.4710025,2022/06/01 00:00:00,green,signal
439,宇和島市保手四丁目,宇和島市,,コン柱,open,2,,,"737341-1,2","105,107",,33.21370057,132.54892,2022/06/01 00:00:00,green,signal
440,宇和島市保田,宇和島市,,コン柱,open,3,,,"737345-4,5,6","274,275,273",,33.18759502,132.5450135,2022/06/01 00:00:00,green,signal
441,宇和島市坂下津,宇和島市,,コン柱,open,3,,,"737341-4,5,6","209,208,207",,33.22034485,132.5476319,2022/06/01 00:00:00,green,signal
442,宇和島市津島町高田②,宇和島市,,コン柱,open,3,,,"737420-1,2,3","199,200,198",,33.120426,132.518774,2022/06/01 00:00:00,green,signal
443,宇和島市下波,宇和島市,,コン柱,open,3,,,"737422-7,8,9","152,150,151",,33.16783,132.45624,2022/06/01 00:00:00,green,signal
444,宇和島市遊子③,宇和島市,,コン柱,close,,,,,,,33.20647,132.45694,2022/06/01 00:00:00,red,remove
445,宇和島市吉田町本町,宇和島市,,コン柱,open,3,,,"737424-6,7,8","78,79,80",,33.275844,132.541476,2022/06/01 00:00:00,green,signal
446,宇和島市妙典寺前,宇和島市,,コン柱,open,3,,,"737296-7,8,9","248,247,246",,33.21171,132.56495,2022/06/01 00:00:00,green,signal
447,宇和島市丸穂町一丁目,宇和島市,,コン柱,open,3,,,"737296-10,11,12","60,61,62",,33.2240944,132.5732436,2022/06/01 00:00:00,green,signal
448,宇和島市吉田町浅川,宇和島市,,コン柱,close,,,,,,,33.264665,132.526537,2022/06/01 00:00:00,red,remove
449,宇和島市吉田町南君②,宇和島市,,コン柱,close,,,,,,,33.263628,132.513819,2022/06/01 00:00:00,red,remove
450,宇和島市吉田町奥浦,宇和島市,,コン柱,close,,,,,,,33.271461,132.479783,2022/06/01 00:00:00,red,remove
451,宇和島市平浦,宇和島市,,コン柱,close,,,,,,,33.1953211,132.5069746,2022/06/01 00:00:00,red,remove
452,宇和島市小浜,宇和島市,,コン柱,open,1,,,737427-3,342,,33.2049952,132.505668,2022/06/01 00:00:00,green,signal
453,宇和島市石応,宇和島市,,コン柱,close,,,,,,,33.213738,132.52406,2022/06/01 00:00:00,red,remove
454,八幡浜市大平,八幡浜市,,コン柱,open,3,,,"737472-4,5,6","372,184,203",,33.47129,132.432507,2023/01/08 14:33:40,green,signal
455,【5G】八幡浜市舌間,八幡浜市,八幡浜舌間郵便局付近,コン柱,open,3,3,3,"737473-7,8,9","189,280,191",,33.444135,132.417742,2023/01/08 14:48:19,darkblue,plane
456,【5G】八幡浜市川上町川名津,八幡浜市,,コン柱,open,3,3,3,"737473-10,11,12","214,53,51",,33.424905,132.406445,2023/01/08 14:49:31,darkblue,plane
457,八幡浜市穴井,八幡浜市,,コン柱,open,2,,,"737503-6,7","249,16",,33.39767,132.39684,2023/03/24 21:56:59,green,signal
458,八幡浜市保内町磯崎①,八幡浜市,,コン柱,open,3,,,"737500-3,4,5","134,212,211",,33.542691,132.416217,2023/03/19 19:41:35,green,signal
459,八幡浜市保内町宮内①,八幡浜市,,コン柱,open,3,,,"737472-10,11,12","91,90,92",,33.493028,132.397144,2023/01/08 14:34:58,green,signal
460,八幡浜市松柏,八幡浜市,,コン柱,open,3,,,"737470-4,5,6","174,176,175",,33.461973,132.44236,2023/01/08 14:31:17,green,signal
461,八幡浜市保内町川之石,八幡浜市,,コン柱,open,3,,,"737472-7,8,9","322,317,216",,33.476589,132.395549,2023/01/08 14:36:40,green,signal
462,八幡浜市真網代,八幡浜市,,コン柱,open,2,,,"737503-4,5","74,73",,33.414014,132.395678,2023/03/24 21:55:49,green,signal
463,【5G】八幡浜市若山①,八幡浜市,,コン柱,open,3,1,2,"737472-1,2,3","185,184,183",,33.422639,132.459281,2023/01/08 14:52:21,darkblue,plane
464,【5G】八幡浜市郷,八幡浜市,,コン柱,open,3,1,3,"737473-1,2,3","76,75,77",,33.465077,132.465431,2023/01/08 14:29:39,darkblue,plane
465,八幡浜市保内町宮内②,八幡浜市,ローソン八幡浜保内町宮内店,コン柱,close,,,,,,,33.48730993,132.3983857,2022/06/01 00:00:00,red,remove
466,八幡浜市日土町①,八幡浜市,,コン柱,open,2,,,"737580-1,2","291,293",,33.493641,132.417155,2023/05/01 11:48:59,green,signal
467,八幡浜市日土町②,八幡浜市,,コン柱,close,,,,,,,33.499261,132.427007,2022/06/01 00:00:00,red,remove
468,八幡浜市布喜川,八幡浜市,,コン柱,open,3,,,"737474-6,7,8","370,371,369",,33.427868,132.441296,2023/01/08 14:53:18,green,signal
469,八幡浜市保内町喜木,八幡浜市,,コン柱,close,3,,,,,,33.485999,132.411611,2023/06/17 17:33:51,red,remove
470,八幡浜市北浜一丁目,八幡浜市,,コン柱,open,3,,,"737475-5,6,7","239,237,344",,33.461923,132.421504,2023/01/08 14:32:21,green,signal
471,大洲市新谷①,大洲市,ローソン大洲松ケ花店,コン柱,open,3,,,"737545-4,5,6","154,153,153",,33.533239,132.582337,2023/03/17 22:34:13,green,signal
472,大洲市八多喜町,大洲市,ローソン大洲八多喜店,コン柱,open,3,,,"737444-1,2,3","317,315,67",,33.563343,132.539736,2022/07/13 18:02:00,green,signal
473,大洲市春賀①,大洲市,楽天付近,コン柱,open,3,,,"737444-4,5,6","91,183,92",,33.5502219,132.55654,2022/07/13 18:07:00,green,signal
474,【5G】大洲市新谷②,大洲市,ローソン大洲新谷室戸店付近,コン柱,open,3,1,3,"737544-9,10,11","210,211,212",,33.534982,132.599293,2023/03/17 22:13:12,darkblue,plane
475,大洲市菅田町菅田①,大洲市,ローソン大洲菅田店・ユニペトすげたバイパスSS,コン柱,open,3,,,"737543-7,8,9","35,33,34",,33.509924,132.584769,2023/03/17 22:31:06,green,signal
476,大洲市平野町野田①,大洲市,ローソン大洲平野店,コン柱,open,2,,,"737447-6,7","46,47",,33.490228,132.516106,2022/07/20 12:41:00,green,signal
477,【5G】大洲市白滝,大洲市,伊予白滝駅,コン柱,open,3,1,3,"737446-4,5,6","265,264,266",,33.57868477,132.5266381,2022/07/13 17:58:00,darkblue,plane
478,大洲市長浜町沖浦,大洲市,,コン柱,open,2,,,"737501-5,6","370,371",,33.605076,132.482312,2023/03/17 22:23:51,green,signal
479,【5G】大洲市東大洲①,大洲市,,コン柱,open,3,1,3,"737543-10,11,12","322,321,323",,33.520152,132.568938,2023/03/17 22:29:06,darkblue,plane
480,大洲市長浜,大洲市,米川医院屋上,屋上,open,3,,,"737501-7,8,9","295,114,65",,33.61361,132.481163,2023/03/17 22:24:58,green,signal
481,大洲市長浜町櫛生,大洲市,,コン柱,open,3,,,"737578-2,3,4","226,227,275",CBSB838000693,33.574256,132.442079,2023/04/17 14:04:30,green,signal
482,大洲市長浜町出海,大洲市,,コン柱,open,2,,,"737500-1,2","153,313",,33.558641,132.434222,2023/03/19 19:38:47,green,signal
